Date,Code,ShortMarginTradeVolume,LongMarginTradeVolume,ShortNegotiableMarginTradeVolume,LongNegotiableMarginTradeVolume,ShortStandardizedMarginTradeVolume,LongStandardizedMarginTradeVolume,IssueType
2015-08-14,72030,403300,9048500,123000,1336700,280300,7711800,2
2015-08-21,72030,505300,9317200,142400,1393900,362900,7923300,2
2015-08-28,72030,751900,9161600,130600,1306000,621300,7855600,2
2015-09-04,72030,705900,9267900,132600,1327600,573300,7940300,2
2015-09-11,72030,591900,9675800,146500,1319000,445400,8356800,2
2015-09-18,72030,1586300,8448900,140000,1301700,1446300,7147200,2
2015-10-02,72030,886200,8579000,168600,1330600,717600,7248400,2
2015-10-09,72030,1112500,7866500,161200,1187300,951300,6679200,2
2015-10-16,72030,891800,8299200,139400,1255000,752400,7044200,2
2015-10-23,72030,1051700,7923300,146600,1175000,905100,6748300,2
2015-10-30,72030,1030000,8789500,133800,1275400,896200,7514100,2
2015-11-06,72030,681700,8966500,136400,1291300,545300,7675200,2
2015-11-13,72030,690700,8300200,135100,1246700,555600,7053500,2
2015-11-20,72030,725300,7741400,134400,1220300,590900,6521100,2
2015-11-27,72030,959300,7327100,160500,1169300,798800,6157800,2
2015-12-04,72030,894400,7196900,160000,1172600,734400,6024300,2
2015-12-11,72030,956900,7655000,156400,1203800,800500,6451200,2
2015-12-18,72030,1010300,6792100,153000,1152500,857300,5639600,2
2015-12-25,72030,783300,7423300,141900,1209900,641400,6213400,2
2015-12-30,72030,626700,7422000,144200,1218500,482500,6203500,2
2016-01-08,72030,532600,10234900,161300,1445900,371300,8789000,2
2016-01-15,72030,556900,10429000,164400,1502100,392500,8926900,2
2016-01-22,72030,773900,9580700,202200,1389800,571700,8190900,2
2016-01-29,72030,691000,8700800,180300,1322600,510700,7378200,2
2016-02-05,72030,569700,9649300,155600,1409500,414100,8239800,2
2016-02-12,72030,754500,9653600,193000,1335400,561500,8318200,2
2016-02-19,72030,657100,9642500,193200,1308500,463900,8334000,2
2016-02-26,72030,636700,10147300,161800,1362500,474900,8784800,2
2016-03-04,72030,810900,9414100,172100,1325700,638800,8088400,2
2016-03-11,72030,825900,9985600,172100,1394500,653800,8591100,2
2016-03-18,72030,597500,12079100,152200,1568500,445300,10510600,2
2016-03-25,72030,758500,10512700,171300,1440700,587200,9072000,2
2016-04-01,72030,534000,11824100,124000,1593900,410000,10230200,2
2016-04-08,72030,753800,12947600,151800,1710400,602000,11237200,2
2016-04-15,72030,893000,11824900,151800,1611400,741200,10213500,2
2016-04-22,72030,1260300,10453700,216500,1536400,1043800,8917300,2
2016-04-28,72030,1044100,11070100,169400,1555200,874700,9514900,2
2016-05-13,72030,970000,12240200,217500,1663700,752500,10576500,2
2016-05-20,72030,983800,12114700,239700,1636100,744100,10478600,2
2016-05-27,72030,1029500,11919200,197000,1610100,832500,10309100,2
2016-06-03,72030,1096500,14151700,169600,1593700,926900,12558000,2
2016-06-10,72030,1055500,12991700,194200,1598000,861300,11393700,2
2016-06-17,72030,1207600,12396000,200100,1600600,1007500,10795400,2
2016-06-24,72030,1302800,11329700,193200,1605000,1109600,9724700,2
2016-07-01,72030,1099900,12058600,193300,1675400,906600,10383200,2
2016-07-08,72030,1171200,11313300,210800,1688700,960400,9624600,2
2016-07-15,72030,2742300,7649700,255600,1480900,2486700,6168800,2
2016-07-22,72030,2666700,6786400,250700,1426200,2416000,5360200,2
2016-07-29,72030,3127800,6010100,242400,1342200,2885400,4667900,2
2016-08-05,72030,2305700,5091500,176600,1329700,2129100,3761800,2
2016-08-12,72030,2092000,4486700,183100,1283200,1908900,3203500,2
2016-08-19,72030,2304500,4095900,191000,1263800,2113500,2832100,2
2016-08-26,72030,2025800,4620300,176700,1285400,1849100,3334900,2
2016-09-02,72030,2856300,3458500,220800,1166700,2635500,2291800,2
2016-09-09,72030,2554500,3983400,207400,1246500,2347100,2736900,2
2016-09-16,72030,1907100,5074200,186400,1370100,1720700,3704100,2
2016-09-23,72030,1628000,5429900,183600,1439300,1444400,3990600,2
2016-09-30,72030,1508900,6243800,171000,1531200,1337900,4712600,2
2016-10-07,72030,1726900,5270200,174600,1414700,1552300,3855500,2
2016-10-14,72030,1648400,5196500,178500,1400900,1469900,3795600,2
2016-10-21,72030,1713500,5236400,181100,1391300,1532400,3845100,2
2016-10-28,72030,1857600,4866600,178000,1353600,1679600,3513000,2
2016-11-04,72030,1349000,6670700,185200,1499600,1163800,5171100,2
2016-11-11,72030,1805900,5172600,163700,1384600,1642200,3788000,2
2016-11-18,72030,2273100,3649700,189300,1137600,2083800,2512100,2
2016-11-25,72030,2823000,3322400,214600,832500,2608400,2489900,2
2016-12-02,72030,2653300,3636200,217000,927200,2436300,2709000,2
2016-12-09,72030,2690700,2851400,232100,818500,2458600,2032900,2
2016-12-16,72030,2656000,3243300,218900,770400,2437100,2472900,2
2016-12-22,72030,2606000,2962400,221200,744800,2384800,2217600,2
2016-12-30,72030,2202000,3332000,215400,836700,1986600,2495300,2
2017-01-06,72030,2381700,3349400,235900,831600,2145800,2517800,2
2017-01-13,72030,2258300,3561800,227500,871000,2030800,2690800,2
2017-01-20,72030,2132900,3622100,266200,900900,1866700,2721200,2
2017-01-27,72030,2265000,4033000,317700,969200,1947300,3063800,2
2017-02-03,72030,1734800,4763100,313200,1050900,1421600,3712200,2
2017-02-10,72030,1691600,5494200,301000,1093000,1390600,4401200,2
2017-02-17,72030,1660100,5715700,306900,1155300,1353200,4560400,2
2017-02-24,72030,1578000,5557700,299800,1145100,1278200,4412600,2
2017-03-03,72030,1692900,5689000,290900,1105600,1402000,4583400,2
2017-03-10,72030,1371300,5442100,293600,1097800,1077700,4344300,2
2017-03-17,72030,1112200,6433400,279300,1179500,832900,5253900,2
2017-03-24,72030,926300,7297200,249200,1380400,677100,5916800,2
2017-03-31,72030,1555500,7836200,242000,1442700,1313500,6393500,2
2017-04-07,72030,931700,8270100,230000,1495000,701700,6775100,2
2017-04-14,72030,1086400,8274100,226400,1505700,860000,6768400,2
2017-04-21,72030,1073900,8130500,200100,1498300,873800,6632200,2
2017-04-28,72030,1107300,7592700,226900,1445500,880400,6147200,2
2017-05-12,72030,1039600,8321700,218000,1537900,821600,6783800,2
2017-05-19,72030,1034300,7941900,227400,1489600,806900,6452300,2
2017-05-26,72030,1171300,8150400,226300,1506200,945000,6644200,2
2017-06-02,72030,1025200,7532800,240100,1434800,785100,6098000,2
2017-06-09,72030,904500,9039900,215300,1666100,689200,7373800,2
2017-06-16,72030,774800,9075500,209500,1690700,565300,7384800,2
2017-06-23,72030,786400,8599900,205100,1654600,581300,6945300,2
2017-06-30,72030,776300,8386900,216900,1654300,559400,6732600,2
2017-07-07,72030,1055600,6350500,202000,1457700,853600,4892800,2
2017-07-14,72030,1223300,5728700,175800,1345700,1047500,4383000,2
2017-07-21,72030,1029700,5745800,163200,1374100,866500,4371700,2
2017-07-28,72030,1347600,4756800,180400,1314000,1167200,3442800,2
2017-08-04,72030,1278900,4602000,183900,1246200,1095000,3355800,2
2017-08-10,72030,1470200,3653700,180900,1205600,1289300,2448100,2
2017-08-18,72030,1429200,4000600,169200,1246400,1260000,2754200,2
2017-08-25,72030,2019700,3892700,166200,1244600,1853500,2648100,2
2017-09-01,72030,1835900,3844100,164500,1233600,1671400,2610500,2
2017-09-08,72030,1797300,3242500,135500,1196200,1661800,2046300,2
2017-09-15,72030,1936900,2422400,165300,1101400,1771600,1321000,2
2017-09-22,72030,2358400,2104600,193100,889600,2165300,1215000,2
2017-09-29,72030,1875100,2224200,160600,853900,1714500,1370300,2
2017-10-06,72030,2221800,1821100,176000,767000,2045800,1054100,2
2017-10-13,72030,2292000,2024900,176200,754000,2115800,1270900,2
2017-10-20,72030,2503500,1768000,204300,721600,2299200,1046400,2
2017-10-27,72030,2313800,1846200,201600,709600,2112200,1136600,2
2017-11-02,72030,2321000,1810000,196400,691700,2124600,1118300,2
2017-11-10,72030,2152400,2452500,211400,760700,1941000,1691800,2
2017-11-17,72030,1811500,2777500,204300,817600,1607200,1959900,2
2017-11-24,72030,1870400,2491600,205200,780200,1665200,1711400,2
2017-12-01,72030,1876000,2488200,212900,775000,1663100,1713200,2
2017-12-08,72030,1810900,2674300,239800,811100,1571100,1863200,2
2017-12-15,72030,1627600,2765100,245800,811000,1381800,1954100,2
2017-12-22,72030,2128600,2162500,281700,672100,1846900,1490400,2
2017-12-29,72030,1750900,2144900,249600,658600,1501300,1486300,2
2018-01-12,72030,1963300,2900400,247800,527600,1715500,2372800,2
2018-01-19,72030,2026800,2462800,267300,537500,1759500,1925300,2
2018-01-26,72030,1818500,2262100,227900,556400,1590600,1705700,2
2018-02-02,72030,1794500,1966500,229100,535700,1565400,1430800,2
2018-02-09,72030,1630500,2307900,226500,541400,1404000,1766500,2
2018-02-16,72030,1541800,2737000,221500,581600,1320300,2155400,2
2018-02-23,72030,1773600,2803700,223300,599200,1550300,2204500,2
2018-03-02,72030,1418700,3425200,236200,696600,1182500,2728600,2
2018-03-09,72030,1389600,3636900,219000,738800,1170600,2898100,2
2018-03-16,72030,1316800,3600900,239300,727100,1077500,2873800,2
2018-03-23,72030,1278200,3969700,234900,829300,1043300,3140400,2
2018-03-30,72030,1280400,3801100,214600,805700,1065800,2995400,2
2018-04-06,72030,992600,3812500,219500,799700,773100,3012800,2
2018-04-13,72030,993400,3435100,229900,754700,763500,2680400,2
2018-04-20,72030,1020600,3235200,220500,726200,800100,2509000,2
2018-04-27,72030,1074500,2749200,222700,674600,851800,2074600,2
2018-05-11,72030,1433400,2112800,196800,529600,1236600,1583200,2
2018-05-18,72030,1456100,1961600,204400,523600,1251700,1438000,2
2018-05-25,72030,1245500,2540100,222600,618900,1022900,1921200,2
2018-06-01,72030,1184700,3287100,254500,633700,930200,2653400,2
2018-06-08,72030,1477000,3008100,216300,514800,1260700,2493300,2
2018-06-15,72030,1757100,2008100,182000,492400,1575100,1515700,2
2018-06-22,72030,1976400,1995300,184100,525600,1792300,1469700,2
2018-06-29,72030,1089300,2724000,195100,537900,894200,2186100,2
2018-07-06,72030,1070700,2245400,201100,531000,869600,1714400,2
2018-07-13,72030,1224700,2039000,177100,516900,1047600,1522100,2
2018-07-20,72030,1390100,1609100,191500,479000,1198600,1130100,2
2018-07-27,72030,1417600,1466000,178700,469700,1238900,996300,2
2018-08-03,72030,1191500,2061900,164600,518500,1026900,1543400,2
2018-08-10,72030,917700,3022200,147600,712500,770100,2309700,2
2018-08-17,72030,802200,3836800,139200,768400,663000,3068400,2
2018-08-24,72030,789400,3942900,140300,780600,649100,3162300,2
2018-08-31,72030,884800,3555200,145100,743900,739700,2811300,2
2018-09-07,72030,847600,4637700,122500,848800,725100,3788900,2
2018-09-14,72030,779500,4310900,119200,810300,660300,3500600,2
2018-09-21,72030,785000,3676700,181300,746000,603700,2930700,2
2018-09-28,72030,1099900,3487700,158500,720300,941400,2767400,2
2018-10-05,72030,1052100,3458500,133700,704900,918400,2753600,2
2018-10-12,72030,767100,4693000,124300,846400,642800,3846600,2
2018-10-19,72030,641400,4895100,121000,860500,520400,4034600,2
2018-10-26,72030,714100,4923200,112700,868600,601400,4054600,2
2018-11-02,72030,579900,5302800,110200,884900,469700,4417900,2
