Date,Code,Open,High,Low,Close,Volume,TurnoverValue,AdjustmentFactor,AdjustmentOpen,AdjustmentHigh,AdjustmentLow,AdjustmentClose,AdjustmentVolume
2024-08-13,72030,2494,2534.5,2484,2529,27855600,70105354600,1,2494,2534.5,2484,2529,27855600
2024-08-14,72030,2565,2636.5,2560.5,2616,39296900,102148497700,1,2565,2636.5,2560.5,2616,39296900
2024-08-15,72030,2642,2692.5,2630.5,2657.5,32786600,87159311450,1,2642,2692.5,2630.5,2657.5,32786600
2024-08-16,72030,2745,2748.5,2702.5,2744.5,39285800,107272051950,1,2745,2748.5,2702.5,2744.5,39285800
2024-08-19,72030,2730,2742,2651.5,2660.5,28364200,76388496150,1,2730,2742,2651.5,2660.5,28364200
2024-08-20,72030,2705.5,2707.5,2663,2687,21607500,58014701300,1,2705.5,2707.5,2663,2687,21607500
2024-08-21,72030,2653,2697,2644,2692.5,18491300,49438030750,1,2653,2697,2644,2692.5,18491300
2024-08-22,72030,2661,2673,2637.5,2665,24796000,65790944950,1,2661,2673,2637.5,2665,24796000
2024-08-23,72030,2675,2694,2652,2682,18906700,50568331600,1,2675,2694,2652,2682,18906700
2024-08-26,72030,2636,2649,2576,2597.5,28414600,74028776250,1,2636,2649,2576,2597.5,28414600
2024-08-27,72030,2610.5,2652,2600,2644,19290300,50692105450,1,2610.5,2652,2600,2644,19290300
2024-08-28,72030,2699,2756,2697,2746.5,44921600,122660597800,1,2699,2756,2697,2746.5,44921600
2024-08-29,72030,2736.5,2753.5,2720.5,2720.5,24292200,66352838950,1,2736.5,2753.5,2720.5,2720.5,24292200
2024-08-30,72030,2707,2786.5,2704,2759.5,52860500,145897663700,1,2707,2786.5,2704,2759.5,52860500
2024-09-02,72030,2789.5,2821.5,2755,2781,24733100,68976863000,1,2789.5,2821.5,2755,2781,24733100
2024-09-03,72030,2784.5,2807,2770,2772,18096800,50406005850,1,2784.5,2807,2770,2772,18096800
2024-09-04,72030,2677.5,2724.5,2671,2674,37121600,99997000600,1,2677.5,2724.5,2671,2674,37121600
2024-09-05,72030,2594,2652.5,2586,2616,29116800,76245469250,1,2594,2652.5,2586,2616,29116800
2024-09-06,72030,2566.5,2602,2552,2582.5,27452800,70666678900,1,2566.5,2602,2552,2582.5,27452800
2024-09-09,72030,2498,2507,2449,2500,32686400,81035484050,1,2498,2507,2449,2500,32686400
2024-09-10,72030,2517,2537,2491,2499.5,22733800,57089396600,1,2517,2537,2491,2499.5,22733800
2024-09-11,72030,2450,2478.5,2391.5,2422,31044800,75485102250,1,2450,2478.5,2391.5,2422,31044800
2024-09-12,72030,2485,2516,2472,2513,29466900,73667998550,1,2485,2516,2472,2513,29466900
2024-09-13,72030,2482,2497.5,2446,2455,33002900,81429228400,1,2482,2497.5,2446,2455,33002900
2024-09-17,72030,2436.5,2458.5,2367.5,2406,33434800,80265862250,1,2436.5,2458.5,2367.5,2406,33434800
2024-09-18,72030,2450.5,2486.5,2441,2485,28165900,69621487250,1,2450.5,2486.5,2441,2485,28165900
2024-09-19,72030,2585,2633,2560.5,2610.5,40450100,105624567650,1,2585,2633,2560.5,2610.5,40450100
2024-09-20,72030,2667,2668,2612,2634,40654400,107368806200,1,2667,2668,2612,2634,40654400
2024-09-24,72030,2661.5,2666,2610,2617,29192300,76885977550,1,2661.5,2666,2610,2617,29192300
2024-09-25,72030,2609.5,2665,2608,2643.5,27114900,71664190400,1,2609.5,2665,2608,2643.5,27114900
2024-09-26,72030,2671.5,2726.5,2650.5,2726.5,37741900,101856547450,1,2671.5,2726.5,2650.5,2726.5,37741900
2024-09-27,72030,2746.5,2777.5,2677.5,2751.5,38750100,105752690500,1,2746.5,2777.5,2677.5,2751.5,38750100
2024-09-30,72030,2600.5,2624,2525.5,2542.5,62903500,160776365700,1,2600.5,2624,2525.5,2542.5,62903500
2024-10-01,72030,2569,2603.5,2559,2596,31990900,82752270500,1,2569,2603.5,2559,2596,31990900
2024-10-02,72030,2550,2595,2546,2569.5,25911700,66685860650,1,2550,2595,2546,2569.5,25911700
2024-10-03,72030,2629,2649.5,2590,2601.5,31757300,83195417700,1,2629,2649.5,2590,2601.5,31757300
2024-10-04,72030,2600,2605.5,2573.5,2586,22315200,57752065250,1,2600,2605.5,2573.5,2586,22315200
2024-10-07,72030,2659,2662.5,2631,2645.5,31459300,83337826100,1,2659,2662.5,2631,2645.5,31459300
2024-10-08,72030,2605.5,2618.5,2556.5,2568,26579100,68519353200,1,2605.5,2618.5,2556.5,2568,26579100
2024-10-09,72030,2591,2594.5,2545.5,2563.5,21033300,53928296100,1,2591,2594.5,2545.5,2563.5,21033300
2024-10-10,72030,2596,2617,2579,2581,25652700,66520048100,1,2596,2617,2579,2581,25652700
2024-10-11,72030,2586,2595.5,2560,2562,20472100,52709159300,1,2586,2595.5,2560,2562,20472100
2024-10-15,72030,2592,2599,2555,2555,22768900,58520991750,1,2592,2599,2555,2555,22768900
2024-10-16,72030,2527.5,2569,2512.5,2525.5,22755500,57652383450,1,2527.5,2569,2512.5,2525.5,22755500
2024-10-17,72030,2549,2582.5,2545,2550.5,23200400,59385522450,1,2549,2582.5,2545,2550.5,23200400
2024-10-18,72030,2574.5,2574.5,2537,2552.5,17752400,45295066400,1,2574.5,2574.5,2537,2552.5,17752400
2024-10-21,72030,2550,2571.5,2533.5,2541.5,17422500,44372577200,1,2550,2571.5,2533.5,2541.5,17422500
2024-10-22,72030,2567.5,2576.5,2527.5,2545,22643900,57777403300,1,2567.5,2576.5,2527.5,2545,22643900
2024-10-23,72030,2573.5,2655.5,2572,2620.5,35439900,93094511500,1,2573.5,2655.5,2572,2620.5,35439900
2024-10-24,72030,2589,2619.5,2556.5,2602.5,26146100,67863475550,1,2589,2619.5,2556.5,2602.5,26146100
2024-10-25,72030,2594.5,2619,2576,2600,18218000,47214647850,1,2594.5,2619,2576,2600,18218000
2024-10-28,72030,2615,2720.5,2607.5,2707,34954200,93857761050,1,2615,2720.5,2607.5,2707,34954200
2024-10-29,72030,2709,2720,2685.5,2699.5,22183300,59909239900,1,2709,2720,2685.5,2699.5,22183300
2024-10-30,72030,2685,2740.5,2680,2711.5,41528400,112762603650,1,2685,2740.5,2680,2711.5,41528400
2024-10-31,72030,2700,2717.5,2654,2682.5,27717100,74401600350,1,2700,2717.5,2654,2682.5,27717100
2024-11-01,72030,2629,2656.5,2602,2615.5,23741600,62346463550,1,2629,2656.5,2602,2615.5,23741600
2024-11-05,72030,2636.5,2651,2616.5,2639,21319300,56248055150,1,2636.5,2651,2616.5,2639,21319300
2024-11-06,72030,2616,2719,2554,2684.5,68795700,182543447250,1,2616,2719,2554,2684.5,68795700
2024-11-07,72030,2784.5,2813,2734,2762,55124700,153289607650,1,2784.5,2813,2734,2762,55124700
2024-11-08,72030,2748,2748,2659,2662.5,33139900,89146320600,1,2748,2748,2659,2662.5,33139900
2024-11-11,72030,2660,2684,2653.5,2653.5,18773100,49999990500,1,2660,2684,2653.5,2653.5,18773100
2024-11-12,72030,2676.5,2757,2666.5,2717,29839200,81198589650,1,2676.5,2757,2666.5,2717,29839200
2024-11-13,72030,2717,2723.5,2648,2662,20181300,54048355900,1,2717,2723.5,2648,2662,20181300
